epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.9624,1.18232,11.952,1.51604,0.00333,1,0.00554,0.00184,1.94619,16.0331,1.69743,0,0,0
2,39.5774,1.20649,12.1176,1.49751,0.00333,1,0.00512,0.00235,1.97493,14.1778,1.76935,1.9604e-05,1.9604e-05,1.9604e-05
3,58.6914,1.40235,20.92,1.38715,0.00333,1,0.00546,0.00365,1.82315,14.0797,1.72717,3.8416e-05,3.8416e-05,3.8416e-05
4,77.7931,1.03894,10.1563,1.35641,0.00333,1,0.0046,0.00352,1.33173,14.8844,1.41447,5.6436e-05,5.6436e-05,5.6436e-05
5,96.9613,0.90764,8.01583,1.24389,0.00333,1,0.01164,0.00911,1.10849,11.54,1.23537,7.3664e-05,7.3664e-05,7.3664e-05
6,115.469,0.99222,10.396,1.36427,0.00333,1,0.03015,0.02047,0.91943,12.5729,1.16113,9.01e-05,9.01e-05,9.01e-05
7,134.559,0.65276,9.93015,1.11458,0.00333,1,0.02847,0.02344,0.85859,11.6181,1.11058,0.000105744,0.000105744,0.000105744
8,152.976,0.84182,8.57102,1.10179,0.00333,1,0.16079,0.03809,0.81436,10.7667,1.06683,0.000120596,0.000120596,0.000120596
9,171.433,0.81089,11.1589,1.07114,0.00333,1,0.10474,0.06589,0.70451,10.6684,1.03109,0.000134656,0.000134656,0.000134656
10,189.753,0.95557,7.68277,1.08126,0.00333,1,0.0995,0.07469,0.79368,10.4523,1.03975,0.000147924,0.000147924,0.000147924
11,207.983,0.76246,12.9395,1.01018,0.00333,1,0.15308,0.11485,0.68468,10.4188,1.00151,0.0001604,0.0001604,0.0001604
12,226.377,0.74441,16.5693,0.91985,0.00333,1,0.20708,0.16983,0.59031,10.3691,0.9704,0.000172084,0.000172084,0.000172084
13,244.564,0.76926,11.7184,1.05156,0.00333,1,0.33083,0.30192,0.47676,9.99886,0.94031,0.000182976,0.000182976,0.000182976
14,262.934,0.7341,8.16954,0.90395,0.00333,1,0.66167,0.60379,0.39803,9.81615,0.92041,0.000193076,0.000193076,0.000193076
15,281.098,0.61752,9.50123,0.87921,0.00333,1,0.745,0.68292,0.37674,9.59793,0.91398,0.000202384,0.000202384,0.000202384
16,299.311,0.61503,10.8604,0.94146,0.00333,1,0.82833,0.76204,0.36476,9.49264,0.90226,0.0002109,0.0002109,0.0002109
17,317.767,0.77379,8.42691,0.92408,0.00333,1,0.995,0.92029,0.37003,9.7039,0.89681,0.000218624,0.000218624,0.000218624
18,336.027,0.65915,6.68087,0.92349,0.00333,1,0.995,0.92029,0.37003,9.7039,0.89681,0.000225556,0.000225556,0.000225556
19,356.467,0.8099,6.28315,1.06326,0.00333,1,0.995,0.92029,0.36182,9.63139,0.89438,0.000231696,0.000231696,0.000231696
20,374.977,0.77228,8.33892,0.88103,0.00333,1,0.995,0.92029,0.36182,9.63139,0.89438,0.000237044,0.000237044,0.000237044
21,393.164,0.57011,10.511,0.90058,0.00333,1,0.995,0.92029,0.46117,9.74397,0.89514,0.0002416,0.0002416,0.0002416
